Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-2648.099	-3274.515	626.4156	0.4554254	0.189006	0.486242	0.222905	0.101847	1.714377	2.631498
6	-2653.421	-3279.389	625.9678	0.6563266	0.264213	0.402488	0.205617	0.127682	1.67157	2.806144
12	-2628.975	-3255.015	626.0408	0.9861688	0.26171	0.159714	0.429281	0.149295	1.695139	2.535695
18	-2622.197	-3248.973	626.7767	1.136233	0.3756	0.131527	0.286296	0.206577	1.813251	1.887286
24	-2629.979	-3256.52	626.5406	1.171066	0.464669	0.0779343	0.354187	0.103209	1.815465	2.022026
30	-2652.975	-3278.07	625.0947	1.24101	0.408127	0.203471	0.155018	0.233384	1.605805	3.016963
36	-2653.646	-3278.771	625.125	1.355871	0.490016	0.147871	0.14695	0.215163	1.499215	2.999601
42	-2648.363	-3273.715	625.3518	1.527012	0.506736	0.209394	0.0955778	0.188293	1.685558	2.657369
48	-2657.987	-3282.949	624.9618	0.9655713	0.368118	0.11501	0.352411	0.164461	1.576406	3.272471
54	-2639.32	-3264.279	624.9589	1.510504	0.374028	0.233508	0.236549	0.155915	1.632617	2.937494
60	-2634.571	-3259.202	624.6302	1.368926	0.468724	0.0537554	0.28213	0.19539	1.580555	3.238811
66	-2644.161	-3267.787	623.6261	1.575375	0.36781	0.0242954	0.36643	0.241464	1.506103	3.763361
72	-2639.486	-3261.005	621.5186	1.249157	0.389317	0.242786	0.149217	0.21868	1.3766	5.186743
78	-2634.424	-3256.369	621.9452	1.234555	0.311944	0.347034	0.1273	0.213721	1.480896	4.89962
84	-2637.032	-3259.119	622.0872	1.208688	0.388936	0.178289	0.237407	0.195368	1.49703	4.825023
90	-2634.439	-3254.536	620.0976	2.06314	0.473324	0.184017	0.141014	0.201645	1.430569	5.568875
96	-2644.673	-3265.25	620.5769	1.432827	0.518575	0.058917	0.216563	0.205945	1.396913	5.602987
102	-2632.279	-3255.923	623.6438	1.516246	0.478403	0.0543529	0.277253	0.189991	1.581945	3.738467
108	-2628.023	-3251.932	623.9081	1.249807	0.49705	0.0183238	0.28806	0.196566	1.555628	3.738467
114	-2630.92	-3255.509	624.5887	1.265562	0.346425	0.0464059	0.347401	0.259768	1.689331	3.25469
120	-2623.897	-3248.196	624.2986	1.708159	0.441162	0.0100809	0.251295	0.297462	1.595814	3.25469
126	-2636.511	-3260.847	624.3363	1.570195	0.427536	0.0642867	0.160465	0.347712	1.584947	3.306313
132	-2651.361	-3274.927	623.5661	1.17856	0.35802	0.445449	0.0710551	0.125477	1.556975	3.972601
