Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-2655.519	-3279.841	624.3224	1.941657	0.293854	0.307513	0.123066	0.275567	1.673282	3.085453
6	-2639.376	-3263.49	624.1142	1.544213	0.321154	0.193122	0.250642	0.235082	1.872676	3.280578
12	-2653.598	-3277.589	623.991	1.423245	0.394771	0.174071	0.211802	0.219357	1.536879	3.610446
18	-2642.891	-3266.265	623.3736	1.063932	0.234066	0.220291	0.26804	0.277603	1.556548	4.145758
24	-2661.807	-3285.628	623.8212	1.061067	0.338123	0.218286	0.285218	0.158373	1.749144	3.781022
30	-2642.407	-3264.873	622.466	1.528412	0.452098	0.183599	0.199173	0.165129	1.624356	4.380105
36	-2651.569	-3273.213	621.6445	1.411687	0.330706	0.16014	0.193002	0.316152	1.497414	4.968143
42	-2652.278	-3273.999	621.7209	1.432008	0.314071	0.292142	0.058257	0.33553	1.403445	4.967894
48	-2653.687	-3275.508	621.8209	1.558969	0.42134	0.335751	0.0476974	0.195212	1.407391	4.848989
54	-2638.948	-3262.732	623.7839	1.377798	0.316836	0.249226	0.248368	0.185569	1.430747	3.814777
60	-2634.963	-3258.434	623.4717	1.187087	0.381623	0.300188	0.0749531	0.243236	1.640558	3.974167
66	-2634.296	-3256.879	622.5829	1.296072	0.383663	0.240176	0.170026	0.206135	1.457965	4.52391
72	-2650.386	-3273.62	623.2341	1.469691	0.470874	0.190213	0.0340896	0.304823	1.431849	4.082493
78	-2640.161	-3262.67	622.5097	1.465188	0.545136	0.0805279	0.157437	0.216899	1.558784	4.423252
84	-2622.264	-3245.178	622.9143	1.45947	0.444722	0.18804	0.180469	0.186769	1.635115	4.153864
90	-2643.558	-3266.581	623.0231	1.971125	0.411356	0.0881207	0.245969	0.254555	1.723798	3.803221
96	-2645.856	-3267.833	621.9772	1.712613	0.439162	0.113117	0.0950106	0.35271	1.522242	4.626176
102	-2637.507	-3260.823	623.3156	1.458441	0.235076	0.471753	0.0718145	0.221357	1.661085	3.910496
108	-2637.938	-3260.553	622.6141	1.768494	0.361206	0.269562	0.0773917	0.29184	1.744646	4.11553
114	-2631.073	-3253.431	622.3586	1.586856	0.344393	0.310386	0.0812628	0.263958	1.57714	4.439391
120	-2636.702	-3261.045	624.343	1.560003	0.265904	0.331431	0.120809	0.281856	1.769893	3.198141
126	-2637.964	-3261.634	623.6708	1.586292	0.260368	0.246904	0.118294	0.374435	1.84917	3.533384
132	-2661.162	-3284.458	623.2963	1.685611	0.253727	0.266114	0.115276	0.364883	1.892574	3.677775
138	-2647.284	-3271.694	624.4099	1.202506	0.335101	0.250282	0.243355	0.171262	1.72745	3.372206
144	-2648.808	-3272.786	623.9782	1.302014	0.46341	0.114724	0.24761	0.174256	1.722167	3.573487
150	-2644.829	-3268.933	624.1032	1.394984	0.441009	0.0999256	0.21567	0.243396	1.513278	3.573487
156	-2656.808	-3280.989	624.1813	1.227793	0.448485	0.0220906	0.246166	0.283258	1.587745	3.573487
162	-2649.22	-3273.041	623.8216	1.429546	0.368519	0.0730035	0.369079	0.189398	1.815158	3.543892
168	-2636.958	-3262.2	625.242	1.379474	0.541292	0.0499786	0.252674	0.156055	1.732447	2.775001
174	-2631.55	-3257.086	625.5361	1.312855	0.542657	0.0475831	0.253311	0.156449	1.682307	2.662334
180	-2632.862	-3258.007	625.1451	1.561059	0.20498	0.363607	0.11495	0.316464	1.682307	2.76826
186	-2651.017	-3275.294	624.277	1.371491	0.394643	0.0581331	0.245815	0.301409	1.778055	3.32931
192	-2653.109	-3275.947	622.8381	1.372462	0.488151	0.22628	0.0532018	0.232367	1.569551	4.277956
198	-2636.319	-3260.251	623.9318	1.331961	0.3895	0.185139	0.0742214	0.35114	1.614085	3.647317
204	-2651.222	-3275.373	624.1512	1.598586	0.510289	0.129847	0.0886734	0.271191	1.741291	3.309181
210	-2628.457	-3253.029	624.572	1.056865	0.495888	0.208179	0.115083	0.18085	1.81288	3.309181
216	-2620.293	-3243.103	622.8101	1.273483	0.393838	0.273877	0.144992	0.187292	1.686074	4.278771
222	-2626.144	-3249.961	623.8172	1.743494	0.524298	0.135124	0.148611	0.191967	1.710434	3.453423
228	-2621.778	-3245.207	623.429	1.475013	0.402381	0.0404682	0.370771	0.18638	1.672152	3.830757
234	-2646.927	-3269.67	622.7429	1.475013	0.379904	0.211547	0.124819	0.283731	1.447577	4.349571
240	-2662.256	-3285.831	623.5757	0.6121158	0.271724	0.379454	0.218475	0.130347	1.461785	4.349571
246	-2652.728	-3276.837	624.109	0.9311932	0.307969	0.280277	0.263148	0.148606	1.774975	3.674972
252	-2665.732	-3290.032	624.3008	0.9883966	0.349412	0.278314	0.241195	0.131079	1.525406	3.674972
258	-2636.868	-3259.943	623.0752	1.613073	0.377858	0.314466	0.120666	0.18701	1.616579	3.998036
264	-2650.307	-3273.756	623.4488	1.209514	0.298556	0.285387	0.103891	0.312166	1.688238	3.94789
270	-2641.632	-3265.153	623.5202	1.508828	0.376631	0.247301	0.0335742	0.342494	1.517899	3.850157
276	-2649.171	-3272.515	623.3437	1.638265	0.52678	0.193285	0.046959	0.232976	1.570323	3.858681
282	-2633.695	-3255.055	621.3592	1.638265	0.431678	0.232129	0.0563963	0.279796	1.481782	5.02751
288	-2643.298	-3265.548	622.2498	1.374822	0.308643	0.271281	0.0230179	0.397058	1.47231	4.662683
294	-2624.573	-3246.347	621.7736	1.247232	0.210482	0.517852	0.104354	0.167311	1.441356	5.010459
300	-2640.674	-3264.786	624.1121	1.16493	0.257498	0.434083	0.127664	0.180756	1.630664	3.623208
306	-2629.458	-3253.234	623.7759	1.519497	0.328952	0.353351	0.0937343	0.223963	1.570625	3.667005
312	-2641.73	-3264.897	623.1672	1.382395	0.33159	0.406429	0.0808508	0.18113	1.56537	4.088345
318	-2641.437	-3264.004	622.5668	0.9702661	0.354323	0.261105	0.0863937	0.298178	1.57492	4.643272
324	-2637.784	-3261.457	623.6735	1.205337	0.301603	0.348372	0.0962132	0.253812	1.545765	3.90305
330	-2645.975	-3268.495	622.5203	1.429052	0.258173	0.340174	0.061595	0.340058	1.490585	4.473565
336	-2644.766	-3267.111	622.3455	1.645238	0.416841	0.309859	0.0994502	0.17385	1.480854	4.473565
342	-2650.861	-3271.975	621.1146	1.645238	0.350102	0.131449	0.238995	0.279455	1.523214	5.136955
348	-2637.087	-3258.565	621.4787	1.373055	0.413376	0.21109	0.137175	0.238359	1.54507	5.052876
354	-2627.108	-3248.84	621.732	1.262354	0.58169	0.0943241	0.140823	0.183163	1.45777	5.016637
360	-2622.236	-3244.976	622.7406	1.569704	0.460108	0.132138	0.234233	0.17352	1.613593	4.210971
366	-2612.687	-3237.058	624.3711	1.454159	0.583323	0.121496	0.165134	0.130047	1.557928	3.360382
372	-2641.265	-3264.226	622.9605	1.654282	0.544583	0.155474	0.0811365	0.218806	1.449795	4.138955
378	-2636.055	-3259.513	623.4573	1.70627	0.470751	0.18068	0.0942903	0.254279	1.596402	3.746119
384	-2615.907	-3239.905	623.998	1.455505	0.40852	0.350773	0.0200417	0.220665	1.633485	3.533749
390	-2619.484	-3244.206	624.7218	1.406972	0.515841	0.156315	0.0492096	0.278635	1.687832	3.100648
396	-2623.592	-3248.523	624.931	1.612012	0.357027	0.197512	0.0933907	0.35207	1.813865	2.79245
402	-2623.477	-3248.214	624.7365	1.428176	0.340679	0.294946	0.0284268	0.335949	1.680234	3.085218
408	-2633.587	-3258.619	625.0324	1.343475	0.280883	0.492762	0.0860103	0.140344	1.712716	2.933621
414	-2650.067	-3275.535	625.4681	1.21235	0.328941	0.383096	0.133017	0.154946	1.712716	2.742499
420	-2653.616	-3279.345	625.7288	0.9537492	0.301135	0.220718	0.185107	0.29304	1.582435	2.816979
426	-2651.268	-3277.01	625.7418	1.09008	0.426927	0.248248	0.155611	0.169214	1.797753	2.593782
432	-2656.349	-3280.12	623.7715	1.484309	0.42917	0.31081	0.105895	0.154126	1.728651	3.595548
438	-2658.857	-3282.391	623.5346	1.484309	0.420143	0.269402	0.0512753	0.259179	1.670465	3.76627
444	-2651.06	-3274.263	623.2025	1.36336	0.322936	0.358635	0.100304	0.218124	1.640883	4.03488
450	-2655.638	-3275.693	620.0547	1.815411	0.432662	0.1799	0.0952011	0.292237	1.436379	5.692972
456	-2639.685	-3261.433	621.7476	1.40353	0.413966	0.157721	0.161958	0.266356	1.371316	4.984951
462	-2643.848	-3266.339	622.4913	1.231393	0.403295	0.25027	0.122897	0.223537	1.575105	4.54317
468	-2653.11	-3276.795	623.6853	1.292938	0.319858	0.19235	0.098563	0.389229	1.846374	3.676142
474	-2664.583	-3287.707	623.1237	1.612744	0.301344	0.213584	0.0138698	0.471202	1.597819	3.981165
480	-2653.57	-3276.326	622.7559	1.798466	0.534064	0.113393	0.117026	0.235518	1.814602	3.981165
486	-2646.1	-3269.397	623.297	1.432124	0.281597	0.359151	0.120641	0.23861	1.579325	3.981165
492	-2635.225	-3259.174	623.9498	0.9095058	0.229195	0.292318	0.284279	0.194208	1.838075	3.74331
498	-2631.131	-3256.024	624.8936	0.7025106	0.236415	0.301526	0.293234	0.168825	1.781317	3.35288
504	-2633.707	-3257.409	623.7022	1.168434	0.361219	0.259306	0.250478	0.128997	1.695655	3.820552
510	-2645.498	-3268.2	622.7016	0.864456	0.273362	0.286151	0.291234	0.149253	1.458162	4.693683
516	-2637.672	-3260.162	622.4899	0.742555	0.227195	0.351888	0.237377	0.183541	1.531768	4.842113
522	-2624.618	-3248.646	624.0273	0.6621196	0.282925	0.359393	0.238272	0.11941	1.755524	3.895342
528	-2628.468	-3252.527	624.0587	0.7752789	0.244965	0.290385	0.304909	0.159741	1.657038	3.865136
534	-2627.027	-3251.277	624.2504	0.7663348	0.207107	0.381964	0.260102	0.150827	1.726738	3.720027
540	-2637.544	-3261.156	623.6115	0.7279925	0.409991	0.276042	0.124825	0.189141	1.633658	4.16245
546	-2649.248	-3271.982	622.7336	1.049118	0.372971	0.306642	0.133603	0.186784	1.553707	4.51741
552	-2651.36	-3273.642	622.2817	1.602306	0.254773	0.535956	0.0912632	0.118008	1.583815	4.471623
558	-2664.021	-3287.037	623.016	1.467565	0.354827	0.237132	0.122574	0.285468	1.725431	4.040505
564	-2649.093	-3271.668	622.5753	1.461835	0.26663	0.318374	0.153052	0.261944	1.705232	4.305157
570	-2643.504	-3266.807	623.3038	1.468155	0.199422	0.344817	0.219505	0.236255	1.688697	3.896571
576	-2653.476	-3276.774	623.2976	1.395197	0.249779	0.416723	0.0208019	0.312696	1.759078	3.896571
582	-2657.999	-3280.855	622.8564	1.979381	0.188245	0.483334	0.024127	0.304294	1.63353	3.947178
588	-2695.823	-3319.63	623.8069	1.979381	0.388926	0.312685	0.00360555	0.294784	1.959437	3.20479
594	-2658.339	-3282.516	624.1771	1.141924	0.430752	0.199676	0.0311383	0.338435	1.763097	3.52124
600	-2657.707	-3282.986	625.2793	1.729025	0.357641	0.147177	0.21419	0.280992	1.830888	2.508086
606	-2667.813	-3293.649	625.836	1.231661	0.362536	0.20071	0.176155	0.2606	1.706211	2.508086
